STUDENT_ID,COURSE,COURSE_UNIT,SEMESTER,TEST,COURSE_WORK,EXAM,GRADE_POINT,GENDER
2824,CGDD,DRAWING I,1,10,9,33,C-,F
2824,CGDD,BUSINESS COMMUNICATION SKILL,1,5,2,29,F,F
2824,CGDD,INDSIGN I,1,10,5,22,F,F
2824,CGDD,ICT FUNDAMENTAL,1,14,15,35,C+,F
2824,CGDD,ENGLISH,1,16,8,33,C,F
2824,CGDD,CORELDRAW,1,15,10,14,F,F
2873,CGDD,ENGLISH,1,19,14,36,B-,F
2873,CGDD,ICT FUNDAMENTAL,1,6,5,33,F,F
2873,CGDD,CORELDRAW,1,15,10,9,F,F
2873,CGDD,DRAWING I,1,18,15,43,B+,F
2873,CGDD,BUSINESS COMMUNICATION SKILL,1,18,19,38,B+,F
2873,CGDD,INDESIGN I,1,10,4,27,F,F
2856,CGDD,DRAWING I,1,10,7,30,D+,M
2856,CGDD,BUSINESS COMMUNICATION SKILL,1,9,8,7,F,M
2856,CGDD,INDESIGN I,1,10,9,28,D+,M
2856,CGDD,ICT FUNDAMENTAL,1,9,13,28,C-,M
2856,CGDD,CORELDRAW,1,20,16,37,B,M
2856,CGDD,ENGLISH,1,5,10,16,F,M
2832,DGDD,DESIGN PRINCIPLES,1,15,16,45,B+,M
2832,DGDD,BUSINESS COMMUNICATION SKILL,1,19,19,56,A,M
2832,DGDD,CORELDRAW,1,17,10,38,B-,M
2832,DGDD,DRAWING FOR GRAPHICS,1,19,10,37,B-,M
2832,DGDD,ENGLISH,1,20,18,53,A,M
2832,DGDD,DRAWING I,1,12,10,48,B,M
2832,DGDD,ICT FUNDAMENTAL,1,18,19,44,A,M
2828,DGDD,DESIGN PRINCIPLES,1,18,10,51,B+,M
2828,DGDD,BUSINESS COMMUNICATION SKILL,1,16,19,42,B+,M
2828,DGDD,ICT FUNDAMENTAL,1,18,15,53,A,M
2828,DGDD,CORELDRAW,1,16,10,34,C+,M
2828,DGDD,DRAWING FOR GRAPHICS,1,19,18,44,A,M
2828,DGDD,ENGLISH,1,17,20,42,B+,M
2872,CMM,BUSINESS COMMUNICATION SKILL,1,12,19,39,B,F
2872,CMM,COLOR THEORY,1,13,18,37,B-,F
2872,CMM,ICT FUNDAMENTAL,1,10,8,36,C-,F
2872,CMM,ENGLISH,1,20,14,30,C+,F
2872,CMM,ENTREPRENEURSHIP,1,15,15,30,C+,F
2866,DMM,ICT FUNDAMENTAL,1,19,15,1,F,M
2866,DMM,TV THEORY,1,18,19,1,F,M
2866,DMM,COLOR THEORY,1,18,16,1,F,M
2866,DMM,BUSINESS COMMUNICATION SKILL,1,20,10,1,F,M
2866,DMM,ENGLISH,1,16,19,1,F,M
2831,DVTVP,BUSINESS COMMUNICATION SKILL,1,18,11,34,C+,M
2831,DVTVP,TV PRODUCTION THEORY,1,17,15,45,B+,M
2831,DVTVP,COLOR THEORY,1,10,18,40,B-,M
2831,DVTVP,ICT FUNDAMENTAL,1,16,17,22,C,M
2831,DVTVP,ENGLISH,1,16,20,43,B+,M
2867,DMM,BUSINESS COMMUNICATION SKILL,1,10,12,40,C+,M
2867,DMM,CONCEPT AND STORY VISUALIZATION,1,15,19,57,A,M
2867,DMM,PHOTOSHOP,1,17,18,41,B+,M
2867,DMM,COLOR THEORY,1,18,10,54,A,M
2867,DMM,ENTREPRENEURSHIP,1,15,15,30,C+,M
2867,DMM,ICT FUNDAMENTAL,1,17,16,50,A,M
2867,DMM,ENGLISH,1,10,10,37,C,M
2768,DVTVP,ICT FUNDAMENTAL,1,17,16,43,B+,M
2768,DVTVP,BUSINESS COMMUNICATION SKILL,1,20,12,52,A,M
2768,DVTVP,COLOR THEORY,1,14,16,44,B,M
2768,DVTVP,ENGLISH,1,14,20,41,B+,M
2768,DVTVP,ENTREPRENEURSHIP,1,18,12,33,C+,M
2662,DVTVP,BUSINESS COMMUNICATION SKILL,1,20,18,57,A,M
2662,DVTVP,ENTREPRENEURSHIP,1,18,18,47,A,M
2662,DVTVP,ICT FUNDAMENTAL,1,18,15,44,B+,M
2662,DVTVP,ENGLISH,1,17,15,42,B,M
2662,DVTVP,COLOR THEORY,1,17,14,40,B,M
2864,DEE,ENGINEERING SCIENCE,1,15,19,48,A,M
2864,DEE,ENGINEERING MATH 1,1,18,15,48,A,M
2864,DEE,INSTALLATION PRACTICE 1,1,19,14,50,A,M
2864,DEE,ENGINEERING DRAWING,1,19,11,41,B,M
2864,DEE,ENGLISH,1,9,1,15,F,M
2864,DEE,ICT FUNDAMENTAL,1,17,16,47,A,M
2864,DEE,INTRODUCTION TO BUSINESS ADMINISTRATION,1,16,17,53,A,M
2829,DAD,CONSTRUCTION TECHNOLOGY I,1,19,19,57,A,F
2829,DAD,ENGINEERING DRAWING,1,20,17,55,A,F
2829,DAD,ENGINEERING SURVEYING I,1,18,20,45,A,F
2829,DAD,ARCHITECTURAL STUDIO I,1,19,18,56,A,F
2829,DAD,BUSINESS COMMUNICATION SKILL,1,16,20,42,B+,F
2829,DAD,ICT FUNDAMENTAL,1,15,18,53,A,F
2829,DAD,ENGINEERING MATH 1,1,19,15,45,B+,F
2829,DAD,ENGLISH,1,20,17,42,B+,F
2859,DAD,CONSTRUCTION TECHNOLOGY I,1,20,19,1,F,M
2859,DAD,ENGINEERING SURVEYING I,1,17,15,1,F,M
